Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
CYP26C1	TNFRSF10C	trans-position, trans-gene	45376	24	45352	4.11e-07	-1.033298764	-1.433205617	-0.633391912	0.204032413	URmtr	Cardiometabolic	TNFRSF10C:O14798:OID20265:v1:Cardiometabolic	7.53909E-06	-0.842452786	10	93061264	93068697
PKD1	NPPC	trans-position, trans-gene	45190	17	45173	4.12e-07	1.060072946	0.649790444	1.470355449	0.209326045	ptv	Inflammation	NPPC:P23582:OID20568:v1:Inflammation	1.98503E-07	1.063028895	16	2088708	2135898
RPL18	CXADR	trans-position, trans-gene	45190	18	45172	4.14e-07	-1.175063519	-1.629951485	-0.720175554	0.232083743	raredmgmtr	Inflammation	CXADR:P78310:OID20561:v1:Inflammation	3.54497E-06	-1.048232382	19	48615327	48619418
SLC39A12	XG	trans-position, trans-gene	45591	3	45588	4.15e-07	-2.196392875	-3.046710902	-1.346074849	0.433832177	rec	Cardiometabolic	XG:P55808:OID20259:v1:Cardiometabolic	p>0.0001	p>0.0001	10	17951839	18043292
RUNX1	DKK1	trans-position, trans-gene	45644	207	45437	4.2e-07	0.348465081	0.213496692	0.48343347	0.068860861	flexdmg	Neurology	DKK1:O94907:OID21066:v1:Neurology	8.42539E-07	0.332851481	21	34787801	35049310
CLECL1	PDCL2	trans-position, trans-gene	44039	69	43970	4.2e-07	0.609303938	0.373309424	0.845298452	0.120404266	flexnonsynmtr	OncologyII	PDCL2:Q8N4E4:OID31168:v1:OncologyII	3.1923E-07	0.572145774	12	9715860	9733299
CD36	TFPI2	trans-position, trans-gene	45252	419	44833	4.2e-07	-0.232056394	-0.321939067	-0.142173721	0.045858122	flexnonsynmtr	Oncology	TFPI2:P48307:OID21512:v1:Oncology	1.40362E-06	-0.203280993	7	80369575	80679277
STAB1	CNTNAP2	trans-position, trans-gene	45190	187	45003	4.22e-07	0.357150304	0.218792931	0.495507677	0.070589902	ptv	Inflammation	CNTNAP2:Q9UHC6:OID20556:v1:Inflammation	2.97323E-07	0.355676184	3	52495338	52524495
ASGR1	IFNLR1	trans-position, trans-gene	45190	105	45085	4.23e-07	0.484359251	0.296703207	0.672015296	0.095742074	flexdmg	Inflammation	IFNLR1:Q8IU57:OID20506:v1:Inflammation	4.3355E-07	0.472973913	17	7173431	7179564
WDR91	FCRL1	trans-position, trans-gene	45276	9	45267	4.25e-07	1.648711143	1.009813532	2.287608755	0.325965441	rec	Cardiometabolic	FCRL1:Q96LA6:OID20172:v1:Cardiometabolic	6.44846E-05	1.179950865	7	135183838	135211564
SLC48A1	OCLN	trans-position, trans-gene	45520	4	45516	4.26e-07	2.403400037	1.472000031	3.334800043	0.475200176	UR	NeurologyII	OCLN:Q16625:OID31069:v1:NeurologyII	4.10335E-07	2.413173696	12	47753842	47782753
CD36	COL5A1	trans-position, trans-gene	44654	458	44196	4.28e-07	-0.233113534	-0.323468134	-0.142758934	0.046098883	flexdmg	InflammationII	COL5A1:P20908:OID30587:v1:InflammationII	1.82562E-07	-0.217743255	7	80369575	80679277
BMP1	HSPG2	trans-position, trans-gene	44912	231	44681	4.28e-07	-0.316836458	-0.439644259	-0.194028656	0.062656504	ptvraredmg	Cardiometabolic	HSPG2:P98160:OID20383:v1:Cardiometabolic	2.9256E-07	-0.309612229	8	22165140	22212326
DNMT1	BGN	trans-position, trans-gene	44106	212	43894	4.31e-07	-0.341695395	-0.474173774	-0.209217016	0.067590396	flexnonsynmtr	Oncology	BGN:P21810:OID21198:v1:Oncology	1.03203E-05	-0.284067803	19	10133345	10195079
BMP1	COL4A1	trans-position, trans-gene	45276	382	44894	4.31e-07	-0.255592735	-0.354690256	-0.156495214	0.050559537	flexdmg	Cardiometabolic	COL4A1:P02462:OID20208:v1:Cardiometabolic	6.90504E-07	-0.242783992	8	22165140	22212326
SLC34A3	CDH3	trans-position, trans-gene	45644	354	45290	4.32e-07	0.262244867	0.160561349	0.363928385	0.051878923	flexdmg	Neurology	CDH3:P22223:OID21008:v1:Neurology	6.21883E-07	0.246873401	9	137230757	137236555
TNFRSF13B	GALNT7	trans-position, trans-gene	45042	354	44688	4.34e-07	0.267007475	0.163463255	0.370551695	0.052828234	flexdmg	Oncology	GALNT7:Q86SF2:OID21377:v1:Oncology	3.12326E-07	0.258467018	17	16929816	16972118
STAB1	NID2	trans-position, trans-gene	45260	1222	44038	4.34e-07	0.14577417	0.089240916	0.202307424	0.028843255	flexdmg	Neurology	NID2:Q14112:OID21085:v1:Neurology	1.37207E-07	0.145184662	3	52495338	52524495
SLC39A5	ENPP6	trans-position, trans-gene	44457	322	44135	4.35e-07	0.271368766	0.166122326	0.376615206	0.053696687	flexnonsynmtr	CardiometabolicII	ENPP6:Q6UWR7:OID30273:v1:CardiometabolicII	8.02447E-08	0.277754184	12	56230049	56237846
TRPM1	ACY1	trans-position, trans-gene	45276	783	44493	4.37e-07	0.169584135	0.103803314	0.235364956	0.033561363	flexdmg	Cardiometabolic	ACY1:Q03154:OID20137:v1:Cardiometabolic	2.07404E-05	0.13599971	15	31001061	31161273
TMTC2	CD164L2	trans-position, trans-gene	44410	44	44366	4.37e-07	-0.764293351	-1.060761442	-0.467825259	0.151257886	UR	NeurologyII	CD164L2:Q6UWJ8:OID30922:v1:NeurologyII	5.74376E-06	-0.629459899	12	82686952	83134868
CA13	PTK7	trans-position, trans-gene	44217	11	44206	4.37e-07	-1.51482284	-2.102426461	-0.927219219	0.299795065	ptv	Neurology	PTK7:Q13308:OID20880:v1:Neurology	2.2622E-05	-1.127517723	8	85220587	85284073
CCDC183	MYL4	trans-position, trans-gene	44457	7	44450	4.41e-07	1.850625579	1.132524473	2.568726686	0.366374869	URmtr	CardiometabolicII	MYL4:P12829:OID30245:v1:CardiometabolicII	1.86666E-06	1.393643461	9	136796338	136807741
TMEM43	MGMT	trans-position, trans-gene	45190	12	45178	4.43e-07	-1.451933656	-2.015434332	-0.88843298	0.287497924	ptv	Inflammation	MGMT:P16455:OID20588:v1:Inflammation	4.88595E-07	-1.337272004	3	14124940	14143680
OR1G1	CDH6	trans-position, trans-gene	45276	140	45136	4.44e-07	-0.416653574	-0.578366698	-0.254940451	0.082506005	flexnonsynmtr	Cardiometabolic	CDH6:P55285:OID20157:v1:Cardiometabolic	8.81976E-07	-0.389274875	17	3126505	3128253
ST3GAL6	PDCD1LG2	trans-position, trans-gene	45042	24	45018	4.45e-07	-1.018805574	-1.414285192	-0.623325957	0.201773599	ptv	Oncology	PDCD1LG2:Q9BQ51:OID21273:v1:Oncology	6.12507E-06	-0.877477965	3	98732236	98797054
TRIM2	CES2	trans-position, trans-gene	45042	22	45020	4.46e-07	1.047005491	0.640558153	1.453452829	0.207369326	URmtr	Oncology	CES2:O00748:OID21366:v1:Oncology	2.24633E-06	0.885206082	4	153152469	153339322
HTRA2	HTRA2	cis-position, cis-gene	45388	42	45346	4.46e-07	-0.768652604	-1.067053224	-0.470251984	0.15224395	flexdmg	Oncology	HTRA2:O43464:OID21471:v1:Oncology	2.16016E-08	-0.79911331	2	74529725	74533332
F2	F2	cis-position, cis-gene	45680	7	45673	4.47e-07	-1.89580282	-2.631823182	-1.159782458	0.375517539	ptv	InflammationII	F2:P00734:OID30723:v1:InflammationII	4.63356E-07	-1.891285294	11	46719196	46739506
SP140L	GABARAPL1	trans-position, trans-gene	44858	10	44848	4.51e-07	-1.600239498	-2.221709198	-0.978769799	0.317073645	rec	OncologyII	GABARAPL1:Q9H0R8:OID31253:v1:OncologyII	p>0.0001	p>0.0001	2	230327166	230403730
ST3GAL4	ANGPTL7	trans-position, trans-gene	45621	18	45603	4.52e-07	-1.149777588	-1.596341367	-0.70321381	0.227836802	UR	Oncology	ANGPTL7:O43827:OID21412:v1:Oncology	2.94302E-06	-1.038090049	11	126355645	126652917
PAWR	CXCL1	trans-position, trans-gene	45158	14	45144	4.52e-07	1.329768712	0.813277685	1.84625974	0.263513607	flexdmg	Inflammation	CXCL1:P09341:OID20762:v1:Inflammation	6.7435E-06	1.108910959	12	79587791	79691010
PSAP	SEMA3G	trans-position, trans-gene	44654	10	44644	4.53e-07	1.573625369	0.962380359	2.184870379	0.311856973	ptv	InflammationII	SEMA3G:Q9NS98:OID30599:v1:InflammationII	1.02604E-07	1.589720404	10	71816298	71851251
SH2B2	LRPAP1	trans-position, trans-gene	45644	13	45631	4.54e-07	-1.366653211	-1.897542354	-0.835764067	0.2708596	raredmgmtr	Neurology	LRPAP1:P30533:OID21059:v1:Neurology	2.06305E-06	-1.160215833	7	102285059	102321711
ZNF564	GFRA2	trans-position, trans-gene	45042	57	44985	4.55e-07	0.6622977	0.404988906	0.919606494	0.13127888	ptv	Oncology	GFRA2:O00451:OID21330:v1:Oncology	1.63323E-06	0.619053569	19	12525370	12551542
ASGR1	CFP	trans-position, trans-gene	45680	102	45578	4.56e-07	0.484581224	0.29631288	0.672849569	0.096054497	flexdmg	InflammationII	CFP:P27918:OID30784:v1:InflammationII	8.15963E-07	0.463344845	17	7173431	7179564
ADGRA2	TLR2	trans-position, trans-gene	44858	306	44552	4.56e-07	0.289210375	0.176846765	0.401573985	0.057327878	flexdmg	OncologyII	TLR2:O60603:OID31290:v1:OncologyII	3.17526E-06	0.258181849	8	37796883	37843986
SS18L1	ACTA2	trans-position, trans-gene	44454	5	44449	4.58e-07	1.969577272	1.204217791	2.734936752	0.39048607	URmtr	Cardiometabolic	ACTA2:P62736:OID20079:v1:Cardiometabolic	4.70518E-07	1.975440711	20	62143720	62182510
CD163L1	SORD	trans-position, trans-gene	45412	162	45250	4.6e-07	0.383015994	0.234152389	0.5318796	0.07595019	ptvraredmg	Oncology	SORD:Q00796:OID21453:v1:Oncology	3.45967E-07	0.371896844	12	7326484	7444185
SLC34A3	TNFRSF19	trans-position, trans-gene	45621	352	45269	4.6e-07	0.25270318	0.15449156	0.350914799	0.05010756	flexdmg	Oncology	TNFRSF19:Q9NS68:OID21446:v1:Oncology	4.39392E-07	0.240329547	9	137230757	137236555
POLR1B	APOBR	trans-position, trans-gene	44457	363	44094	4.61e-07	-0.262770383	-0.364906501	-0.160634266	0.052109802	flexdmg	CardiometabolicII	APOBR:Q0VD83:OID30246:v1:CardiometabolicII	5.67418E-06	-0.206588357	2	112541915	112577153
FBXO41	SPINK2	trans-position, trans-gene	44654	43	44611	4.61e-07	0.67008741	0.40963899	0.93053583	0.132880685	UR	InflammationII	SPINK2:P20155:OID30627:v1:InflammationII	2.38645E-07	0.6734351	2	73254682	73284453
MMACHC	CCL22	trans-position, trans-gene	44794	78	44716	4.63e-07	0.563300885	0.344310737	0.782291034	0.111728701	raredmg	Inflammation	CCL22:O00626:OID20765:v1:Inflammation	3.74094E-06	0.461476295	1	45500184	45511067
IRF7	BST2	trans-position, trans-gene	45644	226	45418	4.69e-07	-0.330288158	-0.458757112	-0.201819204	0.06554485	ptvraredmg	Neurology	BST2:Q10589:OID21029:v1:Neurology	9.82891E-07	-0.303688257	11	612553	615999
SH2B3	CD72	trans-position, trans-gene	44654	297	44357	4.69e-07	0.28777516	0.175848378	0.399701941	0.057105001	flexnonsynmtr	InflammationII	CD72:P21854:OID30641:v1:InflammationII	4.07152E-06	0.246594024	12	111405923	111451623
TMEM43	STK11	trans-position, trans-gene	44454	11	44443	4.69e-07	-1.491831224	-2.072091263	-0.911571186	0.296048416	ptv	Cardiometabolic	STK11:Q15831:OID20077:v1:Cardiometabolic	5.5832E-07	-1.363546486	3	14124940	14143680
C10orf71	FLT4	trans-position, trans-gene	45388	31	45357	4.7e-07	-0.890160699	-1.236416573	-0.543904824	0.176659694	URmtr	Oncology	FLT4:P35916:OID21491:v1:Oncology	2.54047E-07	-0.857760762	10	49297056	49327492
SLC34A3	CTSV	trans-position, trans-gene	45466	352	45114	4.71e-07	0.249476656	0.152428557	0.346524755	0.049513927	flexdmg	Oncology	CTSV:O60911:OID21405:v1:Oncology	5.41579E-07	0.237372183	9	137230757	137236555
TMEM43	DARS1	trans-position, trans-gene	44842	12	44830	4.74e-07	-1.436748456	-1.995782023	-0.877714889	0.285218747	ptv	Neurology	DARS1:P14868:OID20903:v1:Neurology	3.35715E-06	-1.225464972	3	14124940	14143680
COL6A3	MAMDC2	trans-position, trans-gene	45616	55	45561	4.76e-07	-0.65696442	-0.912640813	-0.401288027	0.130446074	ptv	CardiometabolicII	MAMDC2:Q7Z304:OID30309:v1:CardiometabolicII	1.97361E-08	-0.708453977	2	237324003	237414328
ZNF878	TADA3	trans-position, trans-gene	45424	5	45419	4.76e-07	2.244544635	1.37104663	3.11804264	0.445658556	raredmgmtr	OncologyII	TADA3:O75528:OID31422:v1:OncologyII	2.6059E-05	1.70879696	19	12043648	12052967
NPC1	SIGLEC9	trans-position, trans-gene	45556	637	44919	4.77e-07	0.194085282	0.118546486	0.269624078	0.038539886	flexdmg	Oncology	SIGLEC9:Q9Y336:OID21390:v1:Oncology	4.47067E-07	0.187681891	18	23506184	23586617
OR5D14	PROK1	trans-position, trans-gene	45190	4	45186	4.78e-07	1.833426785	1.119833836	2.547019735	0.36407497	rec	Inflammation	PROK1:P58294:OID20543:v1:Inflammation	5.15957E-07	1.847721711	11	55795556	55796500
C1orf158	BMP4	trans-position, trans-gene	44838	7	44831	4.8e-07	-1.86117148	-2.585703731	-1.136639229	0.369656121	ptv	Neurology	BMP4:P12644:OID20994:v1:Neurology	p>0.0001	p>0.0001	1	12746186	12761169
CALHM3	STAM	trans-position, trans-gene	45424	71	45353	4.81e-07	-0.592131173	-0.822650914	-0.361611432	0.117611139	ptv	OncologyII	STAM:Q92783:OID31425:v1:OncologyII	3.2507E-07	-0.59640064	10	103472804	103479240
HRNR	CSF1R	trans-position, trans-gene	45669	10	45659	4.82e-07	1.562685409	0.95427422	2.171096597	0.310411345	raredmgmtr	InflammationII	CSF1R:P07333:OID30681:v1:InflammationII	3.99346E-07	1.571124573	1	152212076	152224196
SMG5	SLC44A4	trans-position, trans-gene	44410	44	44366	4.82e-07	-0.75887055	-1.054324693	-0.463416407	0.150740569	raredmg	NeurologyII	SLC44A4:Q53GD3:OID30897:v1:NeurologyII	8.54594E-06	-0.64237315	1	156249224	156282885
RBM12B	KIR3DL1	trans-position, trans-gene	44180	178	44002	4.83e-07	-0.378096355	-0.525317451	-0.230875259	0.075112126	flexdmg	Oncology	KIR3DL1:P43629:OID21185:v1:Oncology	9.61525E-08	-0.384884655	8	93731500	93741012
ZNF451	AFP	trans-position, trans-gene	44766	40	44726	4.85e-07	-0.764400121	-1.062084649	-0.466715592	0.151878544	ptv	Neurology	AFP:P02771:OID20978:v1:Neurology	7.31896E-07	-0.71878773	6	57090010	57170305
ASGR1	TEK	trans-position, trans-gene	45388	104	45284	4.85e-07	0.488256126	0.29810431	0.678407941	0.097015427	flexdmg	Oncology	TEK:Q02763:OID21496:v1:Oncology	5.12788E-07	0.47754135	17	7173431	7179564
ZBBX	CNTN1	trans-position, trans-gene	45810	7	45803	4.87e-07	-1.756617229	-2.440802314	-1.072432143	0.349071211	raredmgmtr	Cardiometabolic	CNTN1:Q12860:OID20307:v1:Cardiometabolic	8.07622E-07	-1.616352759	3	167178425	167380405
TNFRSF13B	FCRL5	trans-position, trans-gene	45260	162	45098	4.87e-07	-0.374071765	-0.519768491	-0.22837504	0.074334441	flexnonsynmtr	Neurology	FCRL5:Q96RD9:OID21111:v1:Neurology	5.25694E-06	-0.326244942	17	16929816	16972118
BROX	STAB2	trans-position, trans-gene	45606	36	45570	4.87e-07	0.817158465	0.498870813	1.135446117	0.162390332	raredmg	CardiometabolicII	STAB2:Q8WWQ8:OID30401:v1:CardiometabolicII	p>0.0001	p>0.0001	1	222712553	222735196
HPS5	CEP164	trans-position, trans-gene	44437	302	44135	4.9e-07	-0.291126624	-0.404548147	-0.177705101	0.057867611	flexnonsynmtr	Inflammation	CEP164:Q9UPV0:OID20441:v1:Inflammation	6.87907E-06	-0.246186237	11	18278670	18322498
TTC19	TRIAP1	trans-position, trans-gene	45621	240	45381	4.91e-07	-0.321568559	-0.446862572	-0.196274546	0.063924995	flexdmg	Oncology	TRIAP1:O43715:OID21403:v1:Oncology	1.52974E-06	-0.295685376	17	15999380	16029409
CCDC149	VAT1	trans-position, trans-gene	45042	3	45039	4.91e-07	2.869231835	1.751289385	3.987174284	0.570373948	rec	Oncology	VAT1:Q99536:OID21382:v1:Oncology	p>0.0001	p>0.0001	4	24806117	24980204
TMEM43	ANXA3	trans-position, trans-gene	45565	12	45553	4.94e-07	-1.430627207	-1.988184912	-0.873069503	0.284465884	ptv	Neurology	ANXA3:P12429:OID21036:v1:Neurology	1.7151E-06	-1.260988455	3	14124940	14143680
ITGAD	PRSS53	cis-position, trans-gene	45493	597	44896	4.94e-07	-0.198065688	-0.275252994	-0.120878381	0.039380954	flexnonsynmtr	NeurologyII	PRSS53:Q2L4Q9:OID31093:v1:NeurologyII	4.11356E-07	-0.191845725	16	31393241	31426513
ANGPTL3	LCAT	trans-position, trans-gene	45669	150	45519	4.95e-07	-0.402231362	-0.559000314	-0.245462409	0.079983508	flexdmg	InflammationII	LCAT:P04180:OID30677:v1:InflammationII	7.40164E-07	-0.373262912	1	62597520	62606313
TMEM43	IRAK4	trans-position, trans-gene	45190	12	45178	4.97e-07	-1.439278626	-2.000314566	-0.878242686	0.286240416	ptv	Inflammation	IRAK4:Q9NWZ3:OID20577:v1:Inflammation	1.16325E-06	-1.287317153	3	14124940	14143680
TMEM9	SMS	trans-position, trans-gene	44185	20	44165	4.97e-07	1.119887742	0.683346359	1.556429125	0.222723184	flexnonsynmtr	NeurologyII	SMS:P52788:OID30853:v1:NeurologyII	4.37285E-07	1.09581606	1	201134771	201171582
TMEM9	NPPB	trans-position, trans-gene	44454	19	44435	4.98e-07	-1.107525131	-1.539277106	-0.675773155	0.220279667	raredmg	Cardiometabolic	NPPB:P16860:OID20049:v1:Cardiometabolic	9.9058E-08	-1.115696519	1	201134771	201171582
RUNDC3B	PI16	trans-position, trans-gene	45669	69	45600	5e-07	0.578457775	0.352914823	0.804000726	0.115071998	flexnonsynmtr	InflammationII	PI16:Q6UXB8:OID30676:v1:InflammationII	7.10508E-07	0.551567574	7	87627675	87832298
PIKFYVE	ROBO1	trans-position, trans-gene	45300	327	44973	5e-07	0.273572444	0.166906543	0.380238345	0.054420923	flexnonsynmtr	Inflammation	ROBO1:Q9Y6N7:OID20734:v1:Inflammation	3.96956E-06	0.23358495	2	208266255	208358746
RASGEF1C	NFIC	trans-position, trans-gene	45520	28	45492	5.02e-07	-0.94705498	-1.316355153	-0.577754808	0.188416905	raredmgmtr	NeurologyII	NFIC:P08651:OID30988:v1:NeurologyII	1.11372E-06	-0.833791958	5	180100795	180209130
ENKD1	LTB	trans-position, trans-gene	45424	35	45389	5.03e-07	-0.842712082	-1.171362571	-0.514061593	0.167677432	ptv	OncologyII	LTB:Q06643:OID31383:v1:OncologyII	5.57206E-06	-0.694144319	16	67662947	67666725
TCHH	CRNN	cis-position, trans-gene	43934	329	43605	5.09e-07	-0.262579378	-0.365029456	-0.160129299	0.052269968	ptvraredmg	Oncology	CRNN:Q9UBG3:OID21427:v1:Oncology	5.61348E-06	-0.225886469	1	152106317	152115454
G6PC	FURIN	trans-position, trans-gene	45388	219	45169	5.09e-07	0.331638216	0.202249822	0.461026609	0.066013938	flexnonsynmtr	Oncology	FURIN:P09958:OID21514:v1:Oncology	4.53253E-07	0.323751325	17	42900797	42914433
HTR3E	IL4	trans-position, trans-gene	44437	34	44403	5.09e-07	0.860990582	0.525074644	1.196906519	0.171384161	raredmgmtr	Inflammation	IL4:P05112:OID20426:v1:Inflammation	5.43815E-05	0.645716721	3	184097064	184106995
TLK2	SLAMF7	trans-position, trans-gene	45190	11	45179	5.09e-07	1.499402877	0.914377027	2.084428727	0.298480063	UR	Inflammation	SLAMF7:Q9NQ25:OID20602:v1:Inflammation	2.50784E-06	1.336527169	17	62477081	62615481
SLC34A3	CA4	trans-position, trans-gene	45810	357	45453	5.1e-07	0.263340136	0.16058618	0.366094091	0.052425065	flexdmg	Cardiometabolic	CA4:P22748:OID20241:v1:Cardiometabolic	2.59362E-06	0.235016215	9	137230757	137236555
RBM42	RFC4	trans-position, trans-gene	45424	12	45412	5.1e-07	1.443431795	0.880207181	2.006656408	0.287357117	UR	OncologyII	RFC4:P35249:OID31376:v1:OncologyII	1.39006E-06	1.329931535	19	35629078	35637685
CLDN10	HSPG2	trans-position, trans-gene	44912	41	44871	5.13e-07	0.745320238	0.454445233	1.036195244	0.148404341	UR	Cardiometabolic	HSPG2:P98160:OID20383:v1:Cardiometabolic	1.74742E-06	0.686491842	13	95433599	95579756
STAB2	ARHGEF5	trans-position, trans-gene	44185	127	44058	5.16e-07	0.445367466	0.271513368	0.619221564	0.088700269	ptv	NeurologyII	ARHGEF5:Q12774:OID30871:v1:NeurologyII	3.38973E-07	0.429665985	12	103587273	103766719
ADAM9	COLEC12	trans-position, trans-gene	45225	146	45079	5.18e-07	-0.382165861	-0.531369085	-0.232962637	0.076123454	flexnonsynmtr	Inflammation	COLEC12:Q5KU26:OID20738:v1:Inflammation	1.27445E-07	-0.374262495	8	38996754	39105445
ARRDC4	PLTP	trans-position, trans-gene	45667	17	45650	5.2e-07	1.184882205	0.722212389	1.647552021	0.236054107	ptv	Cardiometabolic	PLTP:P55058:OID20238:v1:Cardiometabolic	9.3061E-06	0.965675756	15	97960703	97973838
ATP12A	ATP1B4	trans-position, trans-gene	44039	12	44027	5.22e-07	-1.449307529	-2.015333392	-0.883281666	0.288786072	rec	OncologyII	ATP1B4:Q9UN42:OID31230:v1:OncologyII	3.18606E-06	-1.129123374	13	24680411	24711785
SFI1	CETN3	trans-position, trans-gene	45423	82	45341	5.22e-07	-0.549985364	-0.764768059	-0.335202669	0.1095821	ptv	OncologyII	CETN3:O15182:OID31525:v1:OncologyII	2.09692E-07	-0.531644647	22	31488688	31618551
ESYT1	TREH	trans-position, trans-gene	45606	420	45186	5.23e-07	-0.24449958	-0.339992182	-0.149006978	0.048720317	flexnonsynmtr	CardiometabolicII	TREH:O43280:OID30388:v1:CardiometabolicII	8.05159E-07	-0.23007336	12	56128202	56144676
ARHGEF16	ALDH5A1	trans-position, trans-gene	45520	334	45186	5.26e-07	0.274883398	0.167501272	0.382265523	0.054786348	flexnonsynmtr	NeurologyII	ALDH5A1:P51649:OID31047:v1:NeurologyII	3.68492E-06	0.216130416	1	3454583	3481115
KCNJ10	MYL3	trans-position, trans-gene	44457	3	44454	5.29e-07	-2.668859224	-3.711660622	-1.626057826	0.532036815	rec	CardiometabolicII	MYL3:P08590:OID30251:v1:CardiometabolicII	6.18861E-07	-2.665441063	1	160037467	160070261
ZAP70	CD5	trans-position, trans-gene	45556	234	45322	5.3e-07	-0.322606024	-0.448670609	-0.196541439	0.064318138	flexdmg	Oncology	CD5:P06127:OID21449:v1:Oncology	7.05963E-07	-0.308876784	2	97713568	97744327
UBE2K	SPINT3	trans-position, trans-gene	45423	3	45420	5.3e-07	1.766934148	1.076488973	2.457379324	0.352265029	ptvraredmg	OncologyII	SPINT3:P49223:OID31509:v1:OncologyII	7.12293E-07	1.755141531	4	39698044	39782792
IGF2R	CPQ	trans-position, trans-gene	45534	94	45440	5.34e-07	0.500168335	0.304670348	0.695666323	0.099743051	UR	CardiometabolicII	CPQ:Q9Y646:OID30406:v1:CardiometabolicII	1.08124E-07	0.514641324	6	159969082	160113507
CHAD	CHAD	cis-position, cis-gene	44654	5	44649	5.37e-07	-2.147582164	-2.987232482	-1.307931845	0.428389275	ptv	InflammationII	CHAD:O15335:OID30660:v1:InflammationII	3.924E-07	-1.997896609	17	50464496	50468906
CELA3A	CELA3A	cis-position, cis-gene	45735	39	45696	5.38e-07	-0.793443639	-1.103667236	-0.483220043	0.158276063	ptv	Cardiometabolic	CELA3A:P09093:OID20298:v1:Cardiometabolic	2.78326E-09	-0.901270006	1	22001657	22012542
ZSCAN26	KLK6	trans-position, trans-gene	45309	239	45070	5.38e-07	0.317726135	0.193496134	0.441956136	0.063382124	flexdmg	Oncology	KLK6:Q92876:OID21526:v1:Oncology	4.98378E-07	0.306729365	6	28267010	28278224
BYSL	CILP	trans-position, trans-gene	45606	4	45602	5.4e-07	-2.378997874	-3.309264813	-1.448730936	0.474622109	ptv	CardiometabolicII	CILP:O75339:OID30399:v1:CardiometabolicII	6.02605E-07	-2.37668861	6	41907847	41933046
NOX4	VSNL1	trans-position, trans-gene	45493	23	45470	5.42e-07	-0.933901285	-1.299144731	-0.568657838	0.186347161	ptv	NeurologyII	VSNL1:P62760:OID31105:v1:NeurologyII	3.67365E-08	-0.858275341	11	89324353	89589611
TET2	IGSF21	trans-position, trans-gene	44457	72	44385	5.44e-07	0.563132174	0.342863469	0.783400879	0.112380997	ptv	CardiometabolicII	IGSF21:Q96ID5:OID30210:v1:CardiometabolicII	1.76242E-06	0.53373736	4	105145875	105279816
SH3YL1	C2	trans-position, trans-gene	45352	132	45220	5.45e-07	0.426524109	0.259677461	0.593370757	0.085125132	flexnonsynmtr	Cardiometabolic	C2:P06681:OID20410:v1:Cardiometabolic	7.28303E-07	0.396600724	2	218136	264866
PSME4	HSBP1	trans-position, trans-gene	44457	336	44121	5.47e-07	0.272254918	0.165741319	0.378768516	0.054343191	flexdmg	CardiometabolicII	HSBP1:O75506:OID30232:v1:CardiometabolicII	5.38482E-07	0.266895209	2	53864067	53970840
VWF	ADAMTS13	trans-position, trans-gene	45810	83	45727	5.51e-07	0.542799478	0.330380107	0.755218848	0.108376357	ptv	Cardiometabolic	ADAMTS13:Q76LX8:OID20249:v1:Cardiometabolic	1.92708E-07	0.550742182	12	5948877	6124770
ASGR1	ADGRG1	trans-position, trans-gene	45042	104	44938	5.53e-07	0.460891591	0.280499444	0.641283738	0.092036027	flexdmg	Oncology	ADGRG1:Q9Y653:OID21294:v1:Oncology	4.67364E-07	0.454936662	17	7173431	7179564
SH2B3	CLEC7A	trans-position, trans-gene	45752	305	45447	5.54e-07	0.281117537	0.171083126	0.391151948	0.056139551	flexnonsynmtr	Inflammation	CLEC7A:Q9BXN2:OID20636:v1:Inflammation	3.09646E-06	0.246415517	12	111405923	111451623
IFI44L	C2	trans-position, trans-gene	45352	23	45329	5.55e-07	-1.019880342	-1.419118096	-0.620642588	0.203691036	raredmg	Cardiometabolic	C2:P06681:OID20410:v1:Cardiometabolic	1.82094E-06	-0.953974261	1	78620382	78646145
CEACAM21	CEACAM21	cis-position, cis-gene	45190	27	45163	5.56e-07	-0.949279855	-1.320896986	-0.577662724	0.189598981	flexdmg	Inflammation	CEACAM21:Q3KPI0:OID20548:v1:Inflammation	8.24975E-08	-0.91302299	19	41549518	41586844
DPEP3	CES2	trans-position, trans-gene	45042	21	45021	5.56e-07	-1.062940873	-1.479052422	-0.646829325	0.212300004	rec	Oncology	CES2:O00748:OID21366:v1:Oncology	4.94934E-07	-0.997782518	16	67975663	67980549
HNF4A	MEP1B	trans-position, trans-gene	45276	274	45002	5.57e-07	-0.299625818	-0.416929358	-0.182322278	0.059848244	flexdmg	Cardiometabolic	MEP1B:Q16820:OID20168:v1:Cardiometabolic	6.08879E-07	-0.286596885	20	44355801	44432845
SIGLECL1	C1RL	trans-position, trans-gene	45609	5	45604	5.58e-07	-2.209018952	-3.073929184	-1.344108719	0.441277124	rec	InflammationII	C1RL:Q9NZP8:OID30721:v1:InflammationII	4.10156E-06	-1.84959401	19	51251026	51269330
